Overall Position,Gender Position,Category Position,Category,Race No,Country ,Official Time,Net Time,10km Time,Half Way Time,30km Time
2915,2571,2915,MR1,A4250,China,4:52:37,4:51:20,1:04:56,2:15:41,3:19:13
2916,2572,2916,MR1,A5389,Hong Kong SAR,4:52:37,4:49:07,1:12:37,2:23:27,3:22:36
2917,345,2917,MR1,A8041,Hong Kong SAR,4:52:39,4:49:31,1:10:56,2:24:01,3:29:10
2918,2573,2918,MR1,A0025,Hong Kong SAR,4:52:39,4:48:56,1:11:53,2:21:15,3:19:14
2919,346,2919,MR1,A3943,China,4:52:39,4:43:01,1:22:19,2:31:29,3:27:51
2920,2574,2920,MR1,A8006,Hong Kong SAR,4:52:40,4:49:07,1:14:07,2:30:32,3:30:51
2921,2575,2921,MR1,A3045,Hong Kong SAR,4:52:40,4:51:54,1:01:28,2:10:49,3:14:53
2922,347,2922,MR1,A4430,Hong Kong SAR,4:52:41,4:47:12,1:11:00,2:22:26,3:21:03
2923,2576,2923,MR1,A2152,Hong Kong SAR,4:52:41,4:47:14,1:07:58,2:12:20,3:11:40
2924,2577,2924,MR1,A2969,Hong Kong SAR,4:52:41,4:50:03,1:02:28,2:07:08,3:08:45
2925,2578,2925,MR1,A5745,Hong Kong SAR,4:52:42,4:49:25,1:07:38,2:19:45,3:22:36
2926,2579,2926,MR1,A5643,Hong Kong SAR,4:52:43,4:46:37,1:14:29,2:26:46,3:25:50
2927,2580,2927,MR1,A2715,China,4:52:44,4:50:30,1:01:27,2:10:30,3:17:27
2928,348,2928,MR1,A2510,Hong Kong SAR,4:52:44,4:50:00,1:04:25,2:13:02,3:13:21
2929,2581,2929,MR1,A1930,Hong Kong SAR,4:52:44,4:50:00,1:04:25,2:13:02,3:13:20
2930,2582,2930,MR1,A6358,Macao SAR,4:52:47,4:49:48,1:06:42,2:14:50,3:13:09
2931,2583,2931,MR1,A7423,China,4:52:48,4:51:20,1:05:36,2:17:23,3:22:03
2932,349,2932,MR1,A3136,Hong Kong SAR,4:52:48,4:47:01,,2:21:04,3:15:07
2933,2584,2933,MR1,A4419,Macao SAR,4:52:49,4:52:24,1:01:13,2:13:52,3:21:16
2934,2585,2934,MR1,A8342,Hong Kong SAR,4:52:52,4:51:34,1:08:23,2:17:43,3:16:56
2935,2586,2935,MR1,A1960,Hong Kong SAR,4:52:54,4:46:25,1:18:47,2:32:44,3:28:54
2936,2587,2936,MR1,A5775,China,4:52:56,4:47:55,1:12:23,2:23:52,3:21:48
2937,2588,2937,MR1,A2588,Hong Kong SAR,4:52:57,4:46:41,1:07:20,2:17:00,3:18:49
2938,2589,2938,MR1,A2540,Hong Kong SAR,4:52:57,4:51:22,0:56:19,2:01:04,3:01:09
2939,2590,2939,MR1,A7361,Hong Kong SAR,4:52:58,4:52:18,1:02:47,2:14:24,3:17:39
2940,2591,2940,MR1,A4860,Macao SAR,4:52:59,4:47:59,1:11:32,2:22:13,3:20:53
2941,2592,2941,MR1,A6247,China,4:53:01,4:52:42,1:03:15,2:17:20,3:22:30
2942,2593,2942,MR1,A5322,China,4:53:02,4:52:55,1:02:45,2:20:59,3:21:34
2943,350,2943,MR1,A5429,Hong Kong SAR,4:53:02,4:47:04,1:14:30,2:26:30,3:27:00
2944,2594,2944,MR1,A1456,Hong Kong SAR,4:53:03,4:51:32,1:06:46,2:16:12,3:17:51
2945,2595,2945,MR1,A8355,China,4:53:04,4:52:52,1:02:26,2:15:04,3:18:07
2946,2596,2946,MR1,A8633,China,4:53:05,4:52:18,1:06:28,2:16:14,3:14:05
2947,2597,2947,MR1,A7333,China,4:53:05,4:52:53,1:05:42,2:19:43,3:24:19
2948,351,2948,MR1,A9101,China,4:53:05,4:52:24,1:05:54,2:18:38,3:21:53
2949,2598,2949,MR1,A1513,Hong Kong SAR,4:53:06,4:48:31,1:13:40,2:27:41,3:27:12
2950,2599,2950,MR1,A4901,Hong Kong SAR,4:53:06,4:51:25,1:04:10,2:13:41,3:17:26
2951,352,2951,MR1,A6006,Hong Kong SAR,4:53:06,4:50:19,1:10:49,2:24:24,3:24:58
2952,2600,2952,MR1,A2470,Hong Kong SAR,4:53:06,4:46:41,1:17:14,2:27:57,3:25:08
2953,2601,2953,MR1,A5505,Macao SAR,4:53:07,4:50:10,1:06:53,2:14:36,3:15:10
2954,2602,2954,MR1,A3674,China,4:53:08,4:51:34,1:03:29,2:18:03,3:23:33
2955,2603,2955,MR1,A5235,Hong Kong SAR,4:53:08,4:49:16,1:12:22,2:23:50,3:23:23
2956,2604,2956,MR1,A2156,Hong Kong SAR,4:53:08,4:48:05,1:15:27,2:22:21,3:25:43
2957,2605,2957,MR1,A5652,Hong Kong SAR,4:53:09,4:49:16,1:12:22,2:23:50,3:23:24
2958,2606,2958,MR1,A3330,Singapore,4:53:09,4:47:39,1:14:05,2:23:57,3:23:38
2959,2607,2959,MR1,A2375,Hong Kong SAR,4:53:10,4:49:32,1:13:30,2:27:17,3:28:06
2960,2608,2960,MR1,A5707,Hong Kong SAR,4:53:10,4:48:04,1:21:03,2:32:05,3:29:21
2961,2609,2961,MR1,A4235,Hong Kong SAR,4:53:12,4:48:33,1:07:44,2:15:23,3:19:21
2962,2610,2962,MR1,A1309,Hong Kong SAR,4:53:16,4:51:02,1:10:27,2:20:44,3:24:27
2963,2611,2963,MR1,A0143,Hong Kong SAR,4:53:17,4:51:06,1:05:50,2:15:33,3:18:41
2964,2612,2964,MR1,A3878,United Kingdom,4:53:18,4:49:03,1:05:17,2:10:51,3:14:03
2965,2613,2965,MR1,A0678,Hong Kong SAR,4:53:20,4:49:00,1:06:19,2:16:07,3:17:54
2966,2614,2966,MR1,A8124,Hong Kong SAR,4:53:21,4:46:47,1:10:46,2:20:37,3:20:56
2967,2615,2967,MR1,A2956,Hong Kong SAR,4:53:22,4:52:31,1:04:45,2:18:34,3:21:42
2968,353,2968,MR1,A1666,Hong Kong SAR,4:53:23,4:50:22,1:07:33,2:19:40,3:20:15
2969,2616,2969,MR1,A5664,Hong Kong SAR,4:53:24,4:47:27,1:12:11,2:21:47,3:19:57
2970,2617,2970,MR1,A2205,Hong Kong SAR,4:53:25,4:52:48,1:01:06,2:11:15,3:13:15
2971,2618,2971,MR1,A3842,Japan,4:53:25,4:51:24,1:07:43,2:22:03,3:28:27
2972,2619,2972,MR1,A2800,Hong Kong SAR,4:53:25,4:51:47,1:14:33,2:29:01,3:28:28
2973,2620,2973,MR1,A8558,China,4:53:26,4:52:32,1:00:32,2:08:48,3:14:22
2974,354,2974,MR1,A5159,Hong Kong SAR,4:53:26,4:53:22,1:03:37,2:15:01,3:17:56
2975,2621,2975,MR1,A9054,Hong Kong SAR,4:53:26,4:48:21,1:21:03,2:32:05,3:29:22
2976,355,2976,MR1,A5210,Hong Kong SAR,4:53:27,4:49:35,1:16:27,2:30:55,3:29:22
2977,2622,2977,MR1,A1952,Hong Kong SAR,4:53:28,4:47:29,1:09:34,2:16:12,3:19:45
2978,2623,2978,MR1,A2339,Hong Kong SAR,4:53:29,4:50:01,1:07:11,2:16:10,3:16:19
2979,2624,2979,MR1,A8403,Hong Kong SAR,4:53:29,4:51:45,1:07:19,2:16:51,3:17:47
2980,356,2980,MR1,A1170,Hong Kong SAR,4:53:31,4:49:56,1:09:41,2:21:24,3:25:37
2981,2625,2981,MR1,A0192,Hong Kong SAR,4:53:31,4:50:46,1:04:32,2:15:05,3:12:03
2982,2626,2982,MR1,A8635,China,4:53:32,4:53:05,1:04:24,2:14:14,3:15:33
2983,2627,2983,MR1,A5141,Hong Kong SAR,4:53:33,4:53:03,1:03:46,2:16:47,3:18:05
2984,2628,2984,MR1,A2058,Hong Kong SAR,4:53:34,4:50:16,1:14:23,2:23:35,3:22:32
2985,2629,2985,MR1,A3932,Hong Kong SAR,4:53:35,4:49:17,1:11:22,2:22:03,3:19:51
2986,2630,2986,MR1,A1988,Canada,4:53:35,4:47:44,1:16:32,2:29:50,3:28:57
2987,2631,2987,MR1,A6447,Hong Kong SAR,4:53:36,4:51:31,1:07:47,2:18:28,3:22:02
2988,2632,2988,MR1,A4711,China,4:53:38,4:52:37,1:00:46,2:06:33,3:15:40
2989,2633,2989,MR1,A9058,Hong Kong SAR,4:53:38,4:47:44,1:11:43,2:14:18,3:09:06
2990,2634,2990,MR1,A5329,China,4:53:40,4:52:46,1:07:51,2:26:15,3:30:03
2991,2635,2991,MR1,A7372,Hong Kong SAR,4:53:41,4:50:14,1:10:19,2:23:09,3:23:02
2992,2636,2992,MR1,A8392,Hong Kong SAR,4:53:42,4:49:55,1:07:08,2:15:38,3:19:15
2993,2637,2993,MR1,A1547,China,4:53:42,4:52:57,1:14:05,2:25:13,3:19:45
2994,357,2994,MR1,A8671,Taiwan,4:53:42,4:51:46,1:08:13,2:20:04,3:20:58
2995,2638,2995,MR1,A7803,Hong Kong SAR,4:53:43,4:48:28,1:10:00,2:19:07,3:20:29
2996,2639,2996,MR1,A3798,Australia,4:53:43,4:49:23,1:13:39,2:26:47,3:25:53
2997,2640,2997,MR1,A3234,Hong Kong SAR,4:53:44,4:50:19,1:11:58,2:23:57,3:22:27
2998,2641,2998,MR1,A6171,Hong Kong SAR,4:53:45,4:53:17,1:01:49,2:13:00,3:15:12
2999,358,2999,MR1,A3404,Hong Kong SAR,4:53:46,4:51:54,1:03:56,2:17:51,3:22:20
3000,2642,3000,MR1,A5481,Hong Kong SAR,4:53:46,4:49:14,1:16:06,2:28:55,3:27:48
3001,2643,3001,MR1,A6046,Hong Kong SAR,4:53:46,4:47:28,,2:20:42,3:19:31
3002,2644,3002,MR1,A2271,Hong Kong SAR,4:53:47,4:50:25,1:09:55,2:21:05,3:23:13
3003,2645,3003,MR1,A0573,Hong Kong SAR,4:53:47,4:51:38,1:06:42,2:17:31,3:15:41
3004,2646,3004,MR1,A4680,Hong Kong SAR,4:53:48,4:50:47,1:13:16,2:18:55,3:18:07
3005,2647,3005,MR1,A9133,China,4:53:49,4:53:42,1:01:33,2:09:30,3:11:00
3006,359,3006,MR1,A6914,Hong Kong SAR,4:53:49,4:47:59,1:11:47,2:24:39,3:26:19
3007,360,3007,MR1,A2167,Hong Kong SAR,4:53:49,4:50:57,1:07:16,2:16:10,3:19:30
3008,2648,3008,MR1,A9135,Malaysia,4:53:52,4:49:19,,2:40:30,3:37:43
3009,361,3009,MR1,A4879,Hong Kong SAR,4:53:52,4:52:41,1:06:24,2:19:07,3:20:59
3010,2649,3010,MR1,A0902,Hong Kong SAR,4:53:53,4:52:01,1:08:51,2:21:53,3:25:12
3011,2650,3011,MR1,A8209,Hong Kong SAR,4:53:54,4:51:17,1:13:32,2:25:07,3:23:57
3012,2651,3012,MR1,A8171,China,4:53:55,4:51:28,1:12:09,2:27:29,3:26:50
3013,2652,3013,MR1,A8883,Japan,4:53:55,4:51:50,1:06:43,2:14:09,3:13:01
3014,2653,3014,MR1,A5617,China,4:53:57,4:52:25,1:08:50,2:21:37,3:23:37
3015,2654,3015,MR1,A5859,Hong Kong SAR,4:53:57,4:51:28,1:06:45,2:13:08,3:12:36
3016,2655,3016,MR1,A6304,Hong Kong SAR,4:53:57,4:47:35,1:07:55,2:12:14,3:15:35
3017,2656,3017,MR1,A1499,China,4:53:59,4:52:29,1:08:30,2:21:02,3:24:36
3018,2657,3018,MR1,A1733,Hong Kong SAR,4:54:00,4:53:10,1:03:45,2:16:07,3:21:52
3019,362,3019,MR1,A9075,China,4:54:00,4:53:20,1:09:26,2:28:00,3:26:15
3020,2658,3020,MR1,A3833,China,4:54:01,4:53:51,1:05:31,2:19:27,3:22:45
3021,2659,3021,MR1,A0849,Hong Kong SAR,4:54:01,4:52:29,1:05:43,2:15:13,3:14:36
3022,2660,3022,MR1,A0191,Japan,4:54:02,4:51:57,1:05:23,2:13:10,3:15:10
3023,2661,3023,MR1,A7895,Hong Kong SAR,4:54:02,4:48:31,1:14:54,2:24:57,3:24:21
3024,2662,3024,MR1,A0135,Hong Kong SAR,4:54:03,4:50:27,1:02:28,2:12:25,3:16:47
3025,2663,3025,MR1,A1037,Hong Kong SAR,4:54:03,4:50:35,1:06:20,2:16:52,3:17:50
3026,363,3026,MR1,A0962,China,4:54:05,4:51:09,1:12:13,2:26:06,3:27:53
3027,2664,3027,MR1,A3284,Hong Kong SAR,4:54:06,4:50:08,1:05:43,2:10:36,3:11:44
3028,364,3028,MR1,A4103,Hong Kong SAR,4:54:06,4:48:52,1:14:17,2:25:05,3:23:22
3029,2665,3029,MR1,A5700,Hong Kong SAR,4:54:07,4:53:00,1:07:10,2:16:54,3:18:24
3030,365,3030,MR1,A4028,China,4:54:08,4:52:40,1:05:36,2:17:24,3:22:04
3031,2666,3031,MR1,A5880,Hong Kong SAR,4:54:09,4:51:40,1:10:19,2:21:15,3:26:42
3032,2667,3032,MR1,A3635,Hong Kong SAR,4:54:11,4:49:35,1:07:57,2:15:33,3:15:07
3033,2668,3033,MR1,A4007,Hong Kong SAR,4:54:11,4:51:33,1:11:43,2:23:16,3:21:55
3034,366,3034,MR1,A0105,Hong Kong SAR,4:54:12,4:52:31,1:07:45,2:19:17,3:22:44
3035,2669,3035,MR1,A4773,Hong Kong SAR,4:54:12,4:51:55,1:08:41,2:21:50,3:24:53
3036,2670,3036,MR1,A5579,Hong Kong SAR,4:54:15,4:49:13,1:08:09,2:17:35,3:19:47
3037,2671,3037,MR1,A3779,Hong Kong SAR,4:54:18,4:54:15,0:57:35,2:07:28,3:12:49
3038,2672,3038,MR1,A5223,Hong Kong SAR,4:54:18,4:52:29,1:05:11,2:15:24,3:13:22
3039,2673,3039,MR1,A8710,Japan,4:54:19,4:50:50,1:03:39,2:03:20,2:54:28
3040,367,3040,MR1,A0311,Thailand,4:54:20,4:48:59,1:14:12,2:26:08,3:25:37
3041,2674,3041,MR1,A2120,Hong Kong SAR,4:54:21,4:54:13,0:59:07,2:08:22,3:15:47
3042,2675,3042,MR1,A7654,Hong Kong SAR,4:54:21,4:51:04,1:06:58,2:15:32,3:19:57
3043,2676,3043,MR1,A2262,Singapore,4:54:23,4:50:56,1:14:35,2:28:56,3:29:27
3044,2677,3044,MR1,A8870,China,4:54:24,4:53:55,0:58:44,2:07:07,3:08:09
3045,2678,3045,MR1,A3192,Hong Kong SAR,4:54:24,4:48:50,1:11:55,2:20:30,3:21:27
3046,2679,3046,MR1,A6966,China,4:54:24,4:53:55,0:58:44,2:07:08,3:08:10
3047,368,3047,MR1,A5858,China,4:54:24,4:53:56,0:58:43,2:07:07,3:08:09
3048,2680,3048,MR1,A7391,Hong Kong SAR,4:54:25,4:52:32,1:02:34,2:08:45,3:12:57
3049,2681,3049,MR1,A5581,China,4:54:26,4:52:13,1:13:38,2:25:16,3:23:45
3050,2682,3050,MR1,A8515,China,4:54:27,4:51:13,1:17:45,2:30:12,3:27:41
3051,369,3051,MR1,A7385,China,4:54:27,4:53:58,1:00:04,2:10:50,3:17:38
3052,2683,3052,MR1,A8520,China,4:54:27,4:51:13,1:17:45,2:30:12,3:27:41
3053,2684,3053,MR1,A3285,Hong Kong SAR,4:54:27,4:54:06,1:04:51,2:18:56,3:24:29
3054,2685,3054,MR1,A1541,Hong Kong SAR,4:54:28,4:53:23,1:06:03,2:13:20,3:13:27
3055,2686,3055,MR1,A4514,China,4:54:28,4:52:15,1:13:39,2:25:15,3:23:46
3056,2687,3056,MR1,A1360,Hong Kong SAR,4:54:29,4:49:55,1:07:22,2:17:37,3:19:28
3057,2688,3057,MR1,A4477,China,4:54:30,4:52:08,1:09:21,2:22:53,3:25:04
3058,2689,3058,MR1,A7731,Hong Kong SAR,4:54:30,4:52:43,1:11:04,2:23:46,
3059,2690,3059,MR1,A2213,China,4:54:31,4:54:04,1:05:51,2:14:55,3:15:57
3060,2691,3060,MR1,A5885,Hong Kong SAR,4:54:31,4:48:51,1:11:30,2:20:51,3:23:25
3061,2692,3061,MR1,A3068,Hong Kong SAR,4:54:31,4:53:34,1:05:07,2:17:28,3:21:47
3062,370,3062,MR1,A5948,Philippines,4:54:32,4:54:18,1:05:51,2:22:18,3:26:09
3063,2693,3063,MR1,A2659,China,4:54:35,4:54:14,1:03:43,2:15:40,3:17:49
3064,2694,3064,MR1,A6714,China,4:54:36,4:53:39,1:05:35,2:17:23,3:22:03
3065,2695,3065,MR1,A1846,Hong Kong SAR,4:54:37,4:51:46,1:06:28,2:20:05,3:23:01
3066,2696,3066,MR1,A2453,Hong Kong SAR,4:54:37,4:53:55,1:02:07,2:15:54,3:20:37
3067,2697,3067,MR1,A7250,Hong Kong SAR,4:54:38,4:51:13,1:07:01,2:15:27,3:13:47
3068,2698,3068,MR1,A7381,Hong Kong SAR,4:54:39,4:51:04,1:08:50,2:21:07,3:21:43
3069,2699,3069,MR1,A2041,Hong Kong SAR,4:54:40,4:53:14,1:08:08,2:20:34,3:20:58
3070,2700,3070,MR1,A1727,Hong Kong SAR,4:54:41,4:53:38,1:04:15,2:16:39,3:20:29
3071,371,3071,MR1,A5762,Hong Kong SAR,4:54:41,4:48:41,1:17:38,2:32:31,3:33:56
3072,2701,3072,MR1,A7999,Hong Kong SAR,4:54:42,4:51:45,1:11:45,2:26:22,3:27:16
3073,372,3073,MR1,A6761,China,4:54:43,4:53:12,1:07:09,2:16:00,3:17:41
3074,2702,3074,MR1,A0929,Hong Kong SAR,4:54:43,4:52:53,1:07:41,2:21:41,3:25:31
3075,2703,3075,MR1,A2047,Hong Kong SAR,4:54:48,4:51:06,1:09:29,2:18:36,3:19:32
3076,373,3076,MR1,A5648,Hong Kong SAR,4:54:50,4:52:07,1:10:59,2:25:31,3:26:16
3077,2704,3077,MR1,A0026,Hong Kong SAR,4:54:52,4:49:42,1:16:26,2:22:43,3:26:20
3078,2705,3078,MR1,A8780,China,4:54:52,4:51:30,1:12:39,2:26:43,3:27:04
3079,2706,3079,MR1,A5346,Hong Kong SAR,4:54:53,4:50:30,1:00:39,2:09:43,3:16:24
3080,2707,3080,MR1,A0489,Hong Kong SAR,4:54:54,4:54:17,0:55:23,2:03:45,3:13:49
3081,2708,3081,MR1,A1822,Hong Kong SAR,4:54:54,4:47:47,1:13:07,2:24:20,3:25:16
3082,2709,3082,MR1,A5129,China,4:54:55,4:51:07,1:05:35,2:14:12,3:22:29
3083,2710,3083,MR1,A3906,China,4:54:57,4:54:34,1:01:26,2:08:28,3:09:03
3084,2711,3084,MR1,A3595,Hong Kong SAR,4:54:57,4:49:41,1:13:27,2:22:54,3:21:35
3085,2712,3085,MR1,A7842,Hong Kong SAR,4:54:58,4:52:39,1:02:33,2:09:56,3:16:02
3086,2713,3086,MR1,A4672,Hong Kong SAR,4:54:58,4:50:13,1:09:20,2:23:56,3:28:17
3087,2714,3087,MR1,A3443,China,4:55:00,4:51:23,1:20:13,2:39:55,3:37:23
3088,2715,3088,MR1,A2807,Hong Kong SAR,4:55:00,4:52:54,1:07:27,2:18:49,3:22:53
3089,2716,3089,MR1,A8238,Hong Kong SAR,4:55:01,4:48:54,1:10:02,2:18:29,3:21:05
3090,2717,3090,MR1,A9167,China,4:55:02,4:54:17,1:16:58,2:34:34,3:33:26
3091,374,3091,MR1,A7694,China,4:55:02,4:54:40,1:16:59,2:34:34,3:33:27
3092,2718,3092,MR1,A6438,Hong Kong SAR,4:55:03,4:49:07,1:20:29,2:36:54,3:33:12
3093,2719,3093,MR1,A0744,Canada,4:55:03,4:51:13,1:18:10,2:33:34,3:33:15
3094,2720,3094,MR1,A7008,Hong Kong SAR,4:55:04,4:52:10,1:10:29,2:22:57,3:23:33
3095,2721,3095,MR1,A0564,Hong Kong SAR,4:55:07,4:49:49,1:16:15,2:28:48,3:29:40
3096,2722,3096,MR1,A4408,China,4:55:07,4:54:04,1:08:28,2:19:47,3:17:38
3097,2723,3097,MR1,A7276,Hong Kong SAR,4:55:13,4:49:30,1:13:39,2:24:27,3:23:41
3098,2724,3098,MR1,A5544,Hong Kong SAR,4:55:17,4:52:01,1:10:47,2:18:36,3:17:54
3099,2725,3099,MR1,A5936,Hong Kong SAR,4:55:17,4:49:36,1:13:48,2:24:36,3:24:54
3100,2726,3100,MR1,A1248,Hong Kong SAR,4:55:18,4:53:57,1:08:09,2:19:39,3:20:46
3101,2727,3101,MR1,A6566,Hong Kong SAR,4:55:19,4:54:56,0:55:32,2:02:16,3:11:47
3102,2728,3102,MR1,A1855,Hong Kong SAR,4:55:22,4:51:09,1:15:29,2:29:03,3:27:29
3103,2729,3103,MR1,A0396,Hong Kong SAR,4:55:25,4:51:35,1:14:50,2:26:40,3:26:12
3104,2730,3104,MR1,A5940,Hong Kong SAR,4:55:25,4:49:32,1:04:10,2:08:11,3:11:19
3105,2731,3105,MR1,A4686,Hong Kong SAR,4:55:26,4:52:30,1:07:32,2:18:26,3:24:03
3106,375,3106,MR1,A8525,China,4:55:26,4:52:44,1:12:37,2:22:58,3:23:19
3107,376,3107,MR1,A8143,China,4:55:26,4:52:43,,2:22:59,3:23:19
3108,377,3108,MR1,A8524,China,4:55:26,4:52:44,1:12:37,2:22:58,3:23:19
3109,2732,3109,MR1,A1338,Hong Kong SAR,4:55:28,4:51:10,1:07:28,2:14:23,3:16:25
3110,378,3110,MR1,A8634,China,4:55:30,4:55:29,1:02:03,2:14:25,3:21:18
3111,2733,3111,MR1,A8644,China,4:55:31,4:55:29,1:02:02,2:14:25,3:21:22
3112,2734,3112,MR1,A7070,Hong Kong SAR,4:55:31,4:51:35,1:06:31,2:14:04,3:17:29
3113,379,3113,MR1,A6035,China,4:55:33,4:55:14,0:57:44,2:11:40,3:21:22
3114,2735,3114,MR1,A1476,Hong Kong SAR,4:55:34,4:54:18,0:53:32,2:07:30,3:30:15
3115,2736,3115,MR1,A7949,China,4:55:34,4:53:59,1:10:32,2:22:21,3:24:46
3116,2737,3116,MR1,A5523,Hong Kong SAR,4:55:34,4:54:17,1:05:20,2:16:03,3:13:09
3117,2738,3117,MR1,A3079,Hong Kong SAR,4:55:35,4:49:45,1:13:50,2:24:26,3:26:34
3118,2739,3118,MR1,A5809,Hong Kong SAR,4:55:35,4:50:46,1:08:21,2:16:03,3:16:55
3119,2740,3119,MR1,A2713,Hong Kong SAR,4:55:37,4:52:18,1:07:27,2:19:24,3:21:00
3120,2741,3120,MR1,A7061,Hong Kong SAR,4:55:38,4:54:13,0:57:17,2:02:57,3:10:47
3121,380,3121,MR1,A4302,Hong Kong SAR,4:55:40,4:54:23,1:09:53,2:27:15,3:27:56
3122,2742,3122,MR1,A1034,Hong Kong SAR,4:55:42,4:49:22,1:14:17,2:21:23,3:20:53
3123,2743,3123,MR1,A5266,China,4:55:43,4:54:37,1:13:20,2:25:27,3:23:04
3124,2744,3124,MR1,A0800,Hong Kong SAR,4:55:44,4:55:15,1:06:04,2:18:18,3:18:14
3125,2745,3125,MR1,A5766,China,4:55:44,4:55:41,0:58:03,2:07:32,3:13:58
3126,381,3126,MR1,A6023,Australia,4:55:44,4:52:44,1:07:40,2:20:48,3:21:37
3127,382,3127,MR1,A2614,Hong Kong SAR,4:55:45,4:50:33,1:17:49,2:32:38,3:32:24
3128,2746,3128,MR1,A7487,Hong Kong SAR,4:55:45,4:50:11,1:14:34,2:26:23,3:23:19
3129,2747,3129,MR1,A8252,China,4:55:46,4:50:55,1:14:29,2:28:28,3:27:22
3130,2748,3130,MR1,A9156,China,4:55:46,4:52:40,1:15:07,2:25:31,3:23:56
3131,2749,3131,MR1,A2549,China,4:55:47,4:52:41,1:15:06,2:25:31,3:23:56
3132,2750,3132,MR1,A5758,Malaysia,4:55:47,4:54:41,1:09:03,2:19:27,3:22:41
3133,2751,3133,MR1,A6231,Australia,4:55:47,4:49:25,1:15:12,2:30:45,3:30:55
3134,2752,3134,MR1,A1132,Hong Kong SAR,4:55:47,4:50:28,1:09:22,2:20:08,3:24:24
3135,2753,3135,MR1,A2238,Hong Kong SAR,4:55:48,4:53:11,1:11:58,2:23:36,3:25:42
3136,2754,3136,MR1,A4893,Hong Kong SAR,4:55:48,4:54:13,0:58:47,2:05:08,3:08:45
3137,2755,3137,MR1,A5590,China,4:55:49,4:53:25,1:08:08,2:19:56,3:25:27
3138,2756,3138,MR1,A1574,Hong Kong SAR,4:55:56,4:49:27,1:17:50,2:27:34,3:26:11
3139,2757,3139,MR1,A3450,Hong Kong SAR,4:55:56,4:54:07,1:09:20,2:19:31,3:22:41
3140,2758,3140,MR1,A5090,Malaysia,4:55:57,4:55:02,1:05:37,2:13:58,3:16:02
3141,2759,3141,MR1,A7709,Hong Kong SAR,4:55:57,4:54:42,0:58:08,2:06:23,3:19:18
3142,2760,3142,MR1,A4992,Hong Kong SAR,4:55:58,4:50:11,1:17:25,2:30:53,3:25:09
3143,2761,3143,MR1,A8389,Hong Kong SAR,4:55:59,4:50:26,1:12:43,2:21:50,3:20:12
3144,2762,3144,MR1,A8244,Hong Kong SAR,4:55:59,4:51:55,1:13:53,2:31:16,3:31:33
3145,383,3145,MR1,A4003,Hong Kong SAR,4:56:01,4:55:59,1:00:22,2:15:44,3:19:33
3146,2763,3146,MR1,A1010,Hong Kong SAR,4:56:04,4:55:28,1:01:26,2:08:38,3:15:53
3147,2764,3147,MR1,A6556,Hong Kong SAR,4:56:04,4:54:34,1:08:11,2:17:04,3:16:50
3148,2765,3148,MR1,A4933,Hong Kong SAR,4:56:06,4:55:51,1:03:24,2:13:44,3:15:49
3149,2766,3149,MR1,A6391,Hong Kong SAR,4:56:08,4:54:58,1:00:41,2:04:05,3:09:58
3150,2767,3150,MR1,A7673,China,4:56:08,4:54:50,1:10:57,2:26:13,3:27:52
3151,2768,3151,MR1,A7365,Hong Kong SAR,4:56:08,4:54:56,1:12:30,2:29:53,3:29:48
3152,2769,3152,MR1,A7886,China,4:56:09,4:54:26,1:09:57,2:21:02,3:20:25
3153,2770,3153,MR1,A1106,Hong Kong SAR,4:56:11,4:54:12,1:08:08,2:23:44,3:26:13
3154,384,3154,MR1,A1463,China,4:56:12,4:53:07,1:09:24,2:22:38,3:22:27
3155,2771,3155,MR1,A2421,Hong Kong SAR,4:56:17,4:51:42,1:13:33,2:23:21,3:20:37
3156,385,3156,MR1,A2657,Hong Kong SAR,4:56:18,4:51:40,1:13:33,2:22:34,3:21:45
3157,2772,3157,MR1,A0424,China,4:56:19,4:51:47,1:09:50,2:18:44,3:17:48
3158,2773,3158,MR1,A3761,Hong Kong SAR,4:56:21,4:53:53,1:09:56,2:22:51,3:26:16
3159,2774,3159,MR1,A3684,China,4:56:22,4:54:12,1:08:33,2:15:12,3:20:57
3160,2775,3160,MR1,A3685,Hong Kong SAR,4:56:22,4:50:05,1:16:29,2:30:03,3:31:39
3161,2776,3161,MR1,A6092,China,4:56:23,4:54:40,1:15:19,2:29:01,3:31:12
3162,2777,3162,MR1,A3667,Hong Kong SAR,4:56:24,4:51:33,1:17:22,2:30:55,3:26:57
3163,2778,3163,MR1,A2749,Hong Kong SAR,4:56:24,4:51:34,1:17:22,2:30:55,3:26:57
3164,2779,3164,MR1,A2970,Hong Kong SAR,4:56:27,4:52:29,1:15:53,2:35:10,3:35:06
3165,2780,3165,MR1,A1415,China,4:56:28,4:56:09,1:00:56,2:09:49,3:09:40
3166,2781,3166,MR1,A6796,China,4:56:28,4:53:18,1:07:51,2:17:47,3:17:38
3167,2782,3167,MR1,A6401,Hong Kong SAR,4:56:29,4:51:35,1:05:14,2:13:48,3:13:23
3168,2783,3168,MR1,A8527,China,4:56:31,4:54:44,1:08:31,2:20:18,3:20:25
3169,2784,3169,MR1,A5928,Hong Kong SAR,4:56:32,4:50:42,1:17:48,2:28:54,3:27:33
3170,2785,3170,MR1,A0101,Hong Kong SAR,4:56:32,4:55:17,1:10:14,2:26:19,3:25:21
3171,2786,3171,MR1,A2873,Hong Kong SAR,4:56:32,4:53:30,1:07:43,2:22:37,3:26:25
